epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,30553.8,0.67341,0.52362,0.0108,0.9447,0.89722,0.961,0.83811,0.60113,0.39967,0.01153,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,30961.9,0.66664,0.51516,0.0107,0.9436,0.89721,0.96105,0.83856,0.60018,0.3988,0.01152,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31369.7,0.67172,0.52079,0.01078,0.94091,0.89802,0.96121,0.83847,0.59785,0.40149,0.01147,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31777.3,0.66491,0.50203,0.01065,0.94048,0.90017,0.96111,0.83902,0.59925,0.39931,0.01151,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32185,0.6585,0.50014,0.01047,0.94178,0.8996,0.96134,0.83937,0.59784,0.39906,0.01146,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32592.4,0.65694,0.49524,0.01043,0.94068,0.90203,0.9613,0.84023,0.59471,0.40418,0.01138,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,32999.1,0.64311,0.49226,0.01034,0.94034,0.90301,0.96108,0.84006,0.5942,0.40383,0.01137,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33406.4,0.64493,0.49592,0.01032,0.9417,0.90244,0.96119,0.84108,0.59361,0.40446,0.01134,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33813.9,0.63695,0.486,0.0102,0.93896,0.90291,0.96099,0.841,0.59328,0.40426,0.01134,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,34221.7,0.63737,0.48266,0.01014,0.93738,0.90506,0.96092,0.84016,0.59306,0.40604,0.01132,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34628.2,0.62962,0.4801,0.00998,0.93795,0.90362,0.96123,0.84162,0.59069,0.40518,0.01126,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,35035.3,0.62833,0.47121,0.00994,0.93873,0.90139,0.96161,0.8418,0.58984,0.40637,0.01124,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35443.4,0.62252,0.47061,0.00991,0.94205,0.90104,0.96127,0.84181,0.58954,0.40852,0.01123,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,35851.5,0.61956,0.4657,0.00985,0.94414,0.89964,0.96101,0.84251,0.58876,0.40855,0.01121,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,36259.7,0.61503,0.4575,0.00975,0.94055,0.89891,0.96074,0.84246,0.58842,0.41006,0.0112,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36667.9,0.615,0.45618,0.00982,0.9452,0.89658,0.96136,0.84285,0.5892,0.40619,0.01121,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,37076.1,0.60975,0.45788,0.0097,0.94705,0.89634,0.96164,0.8433,0.5882,0.4054,0.01118,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37483.4,0.60175,0.45265,0.0096,0.94544,0.89648,0.96114,0.84419,0.58553,0.41027,0.01112,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,37889,0.59823,0.45781,0.00953,0.9444,0.89972,0.96106,0.84462,0.5835,0.41075,0.01107,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,38294,0.46965,0.19828,0.01031,0.94399,0.89825,0.96116,0.84486,0.58338,0.41014,0.01107,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,38700.2,0.45688,0.18568,0.00999,0.94329,0.89887,0.96132,0.84472,0.58363,0.40794,0.01107,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,39105.5,0.44098,0.17326,0.00952,0.9438,0.89873,0.96127,0.84475,0.58353,0.40992,0.01106,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,39511.8,0.43669,0.17447,0.00937,0.94326,0.90017,0.96157,0.84514,0.58384,0.40787,0.01107,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,39916.3,0.42781,0.16141,0.00915,0.93938,0.90439,0.9621,0.84601,0.58288,0.4069,0.01104,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,40321.5,0.42371,0.15862,0.00913,0.94049,0.90135,0.96204,0.84673,0.58196,0.40659,0.01102,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,40726.3,0.42043,0.16041,0.00898,0.94075,0.90166,0.96245,0.84707,0.58121,0.40558,0.01101,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,41132.9,0.41599,0.15682,0.00889,0.94009,0.90249,0.96241,0.84776,0.57986,0.40542,0.01097,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,41538.6,0.41399,0.15338,0.00888,0.93493,0.90892,0.96252,0.8479,0.5795,0.4045,0.01096,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,41943.5,0.40511,0.15012,0.00868,0.93831,0.90559,0.96236,0.84764,0.5795,0.40662,0.01097,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
