epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,18697.5,0.79756,0.68436,0.01303,0.91512,0.89987,0.94967,0.80837,0.6568,0.44605,0.01277,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19118.6,0.79472,0.68384,0.01308,0.93274,0.89631,0.95295,0.81288,0.65482,0.43666,0.01279,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19539.6,0.77681,0.67628,0.01284,0.93908,0.89515,0.95382,0.81342,0.65308,0.43713,0.01258,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19961,0.78375,0.67285,0.01277,0.91982,0.90139,0.95216,0.81579,0.64199,0.42658,0.01239,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20383.1,0.77648,0.65782,0.01267,0.94682,0.88157,0.95411,0.8193,0.63116,0.42278,0.01222,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,20805.3,0.78109,0.66517,0.01286,0.93327,0.89522,0.956,0.81841,0.6353,0.41928,0.0124,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21226.5,0.78708,0.67216,0.01301,0.92257,0.88748,0.9505,0.81414,0.63437,0.43902,0.01256,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21647.9,0.77337,0.65073,0.01269,0.923,0.89018,0.95384,0.81992,0.62524,0.43008,0.01224,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,22070.9,0.76146,0.64155,0.01246,0.92061,0.89208,0.95386,0.82196,0.62354,0.43473,0.0121,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22492.3,0.75637,0.6454,0.01233,0.92794,0.89446,0.95208,0.8206,0.62631,0.43655,0.0121,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,22915.8,0.76053,0.62918,0.01235,0.93564,0.88273,0.95114,0.81953,0.61952,0.4437,0.01194,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23339.4,0.75456,0.62424,0.01222,0.92587,0.90784,0.9546,0.82468,0.61925,0.42407,0.01195,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,23763.6,0.74588,0.6183,0.01219,0.93724,0.90116,0.95711,0.82918,0.61018,0.41227,0.01172,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,24187.3,0.74001,0.60246,0.01193,0.9253,0.90697,0.95582,0.82955,0.60769,0.41263,0.01177,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24611,0.73426,0.61589,0.0119,0.93788,0.89499,0.95519,0.82982,0.60566,0.41185,0.0117,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,25034.5,0.73007,0.61245,0.01178,0.93935,0.89481,0.95592,0.83083,0.60674,0.41396,0.01169,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,25457.9,0.72668,0.60322,0.01179,0.94138,0.89457,0.9556,0.83203,0.60309,0.41381,0.01162,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,25881.8,0.72326,0.58501,0.01172,0.94441,0.88923,0.9559,0.83105,0.60307,0.41357,0.01165,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,26305.6,0.7146,0.58007,0.01151,0.92756,0.91078,0.95645,0.83283,0.59872,0.41233,0.01158,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26729,0.71211,0.58905,0.01144,0.93729,0.90668,0.95574,0.83261,0.5926,0.41779,0.01145,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,27152.9,0.7117,0.58223,0.0115,0.93395,0.90995,0.95515,0.83244,0.58987,0.41725,0.0114,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
